,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
8424,0.021277,0.042032,0.171824,0.003467,0.422915,0.414912,0
25849,0.574468,0.072775,0.518298,0.003467,0.422915,0.414912,1
26459,0.829787,0.081962,0.48557,0.003467,0.422915,0.414912,1
6765,0.085106,0.051099,0.259298,0.003467,0.422915,0.414912,0
14128,0.170213,0.043623,0.154716,0.003467,0.422915,0.414912,0
18845,0.12766,0.01318,0.31925,0.000825,0.344381,0.669737,0
2867,0.234043,0.058394,0.289943,0.003467,0.422915,0.414912,0
22277,0.425532,0.059926,0.502529,0.003467,0.422915,0.414912,1
16135,0.808511,0.041642,0.764058,0.003467,0.422915,0.414912,0
9321,0.340426,0.040861,0.487504,0.003467,0.422915,0.414912,0
11929,0.361702,0.051369,0.46028,0.003492,0.322372,0.470614,0
19754,0.702128,0.056683,0.510562,0.003467,0.422915,0.414912,1
21633,0.978723,0.083644,0.486016,0.003467,0.422915,0.414912,1
25004,0.489362,0.076258,0.341714,0.003467,0.422915,0.414912,1
6866,0.170213,0.044344,0.132996,0.003467,0.422915,0.414912,0
20927,0.702128,0.041732,0.502083,0.003467,0.422915,0.414912,1
6903,0.446809,0.043833,0.620202,0.003018,0.569912,0.50307,0
11510,0.425532,0.048367,0.417733,0.003467,0.422915,0.414912,0
24134,0.893617,0.07911,0.230437,0.003467,0.422915,0.414912,1
28553,0.765957,0.036238,0.787712,0.002358,0.666753,0.591667,1
23300,0.617021,0.099376,0.462362,0.003467,0.422915,0.414912,1
6338,0.87234,0.069443,0.312705,0.003467,0.422915,0.414912,0
737,0.553191,0.059865,0.316424,0.003467,0.422915,0.414912,0
28083,0.276596,0.040831,0.467867,0.002665,0.38115,0.684211,1
14971,0.148936,0.041281,0.130318,0.003467,0.422915,0.414912,0
2699,0.723404,0.045785,0.314787,0.003467,0.422915,0.414912,0
6408,0.893617,0.053591,0.351979,0.003467,0.422915,0.414912,0
3161,0.06383,0.044104,0.373996,0.003467,0.422915,0.414912,0
16448,0.021277,0.045485,0.253794,0.003467,0.422915,0.414912,0
25426,0.659574,0.09259,0.631508,0.003467,0.422915,0.414912,1
25053,0.595745,0.100546,0.505058,0.003467,0.422915,0.414912,1
2635,0.978723,0.074757,0.405237,0.003467,0.422915,0.414912,0
17171,0.212766,0.041281,0.113805,0.003467,0.422915,0.414912,0
2575,0.170213,0.058394,0.043291,0.003467,0.422915,0.414912,0
18971,0.12766,0.034766,0.310771,0.002356,0.338426,0.711842,0
20257,0.468085,0.088297,0.588367,0.003467,0.422915,0.414912,1
21397,0.446809,0.056263,0.63612,0.003467,0.422915,0.414912,1
6186,0.595745,0.041732,0.485867,0.003467,0.422915,0.414912,0
26001,0.574468,0.06641,0.561291,0.003467,0.422915,0.414912,1
22529,0.617021,0.081152,0.299762,0.003467,0.422915,0.414912,1
5010,0.957447,0.049898,0.432461,0.003467,0.422915,0.414912,0
28010,0.87234,0.043083,0.608747,0.002966,0.469446,0.458333,1
1590,0.319149,0.050859,0.552514,0.003467,0.422915,0.414912,0
20971,0.680851,0.082833,0.496132,0.003467,0.422915,0.414912,1
25736,0.787234,0.076768,0.432163,0.003467,0.422915,0.414912,1
22160,0.680851,0.070464,0.263017,0.003467,0.422915,0.414912,1
26926,0.744681,0.124745,0.597441,0.011284,0.652771,0.500526,1
24548,0.361702,0.069893,0.496727,0.003467,0.422915,0.414912,1
1747,0.553191,0.058394,0.232966,0.003467,0.422915,0.414912,0
1246,0.851064,0.057644,0.449271,0.003467,0.422915,0.414912,0
4129,0.191489,0.053381,0.121541,0.003467,0.422915,0.414912,0
16401,0.085106,0.044434,0.191758,0.003467,0.422915,0.414912,0
22136,0.021277,0.056263,0.382327,0.003467,0.422915,0.414912,1
9997,0.553191,0.037589,0.542844,0.002553,0.581564,0.422368,0
19859,0.808511,0.089498,0.553853,0.003467,0.422915,0.414912,1
7095,0.12766,0.04011,0.296192,0.001664,0.337131,0.816228,0
21845,0.340426,0.073226,0.399286,0.003467,0.422915,0.414912,1
13018,0.021277,0.051159,0.264653,0.003467,0.422915,0.414912,0
28733,0.702128,0.079621,0.55906,0.005577,0.559037,0.075439,1
19936,0.382979,0.152756,0.682535,0.003467,0.422915,0.414912,1
8277,0.085106,0.051909,0.088218,0.003467,0.422915,0.414912,0
13601,0.0,0.041401,0.397054,0.003467,0.422915,0.414912,0
15084,0.085106,0.06641,0.244273,0.003467,0.422915,0.414912,0
19457,0.021277,0.121713,0.461619,0.003467,0.422915,0.414912,1
5510,0.914894,0.088567,0.548051,0.003467,0.422915,0.414912,0
11474,0.06383,0.069593,0.318209,0.003467,0.422915,0.414912,0
23778,0.829787,0.074817,0.310176,0.003467,0.422915,0.414912,1
9170,0.659574,0.064849,0.452098,0.003467,0.422915,0.414912,0
20028,0.659574,0.10475,0.543737,0.003467,0.422915,0.414912,1
23376,0.87234,0.086796,0.397352,0.003467,0.422915,0.414912,1
15517,0.829787,0.044134,0.508331,0.003467,0.422915,0.414912,0
23887,0.319149,0.102018,0.439304,0.003467,0.422915,0.414912,1
28111,0.87234,0.042963,0.676584,0.002898,0.504402,0.608333,1
19681,0.978723,0.122703,0.392443,0.003467,0.422915,0.414912,1
15308,0.553191,0.050348,0.461024,0.003467,0.422915,0.414912,0
17475,0.404255,0.045785,0.322969,0.003467,0.422915,0.414912,0
28657,0.319149,0.121863,0.66022,0.008477,0.621181,0.432456,1
5542,0.319149,0.038729,0.564713,0.002445,0.492491,0.717544,0
3688,0.085106,0.041431,0.155757,0.003467,0.422915,0.414912,0
25743,0.276596,0.069653,0.475007,0.003467,0.422915,0.414912,1
23471,0.531915,0.093731,0.55296,0.003467,0.422915,0.414912,1
19770,0.276596,0.073106,0.243082,0.003467,0.422915,0.414912,1
28312,0.829787,0.05269,0.722702,0.003481,0.601502,0.646053,1
14926,1.0,0.038249,0.575275,0.002459,0.477991,0.715351,0
5543,0.021277,0.058394,0.209313,0.003467,0.422915,0.414912,0
26120,0.617021,0.051039,0.494644,0.003467,0.422915,0.414912,1
21003,0.680851,0.088567,0.57587,0.003467,0.422915,0.414912,1
10953,0.468085,0.051849,0.40479,0.003467,0.422915,0.414912,0
25758,0.765957,0.071034,0.447783,0.003467,0.422915,0.414912,1
15833,0.680851,0.074817,0.521422,0.003467,0.422915,0.414912,0
24903,0.617021,0.076498,0.510116,0.003467,0.422915,0.414912,1
20441,0.531915,0.10565,0.600565,0.003467,0.422915,0.414912,1
26138,0.404255,0.080551,0.540762,0.003467,0.422915,0.414912,1
3175,0.276596,0.047106,0.367599,0.003467,0.422915,0.414912,0
22131,0.765957,0.057644,0.457156,0.003467,0.422915,0.414912,1
2593,0.021277,0.049838,0.281166,0.003467,0.422915,0.414912,0
15240,0.042553,0.072415,0.480363,0.003467,0.422915,0.414912,0
20484,1.0,0.125796,0.57111,0.003467,0.422915,0.414912,1
6519,0.191489,0.071454,0.170634,0.003467,0.422915,0.414912,0
27846,0.468085,0.042843,0.533918,0.002987,0.388659,0.464035,1
17440,0.808511,0.074216,0.421006,0.003467,0.422915,0.414912,0
18,0.085106,0.055242,0.08435,0.003467,0.422915,0.414912,0
20668,0.87234,0.106611,0.754984,0.003467,0.422915,0.414912,1
4637,0.042553,0.06602,0.52886,0.003467,0.422915,0.414912,0
12649,0.595745,0.071334,0.458346,0.003467,0.422915,0.414912,0
6538,0.851064,0.041732,0.591639,0.003467,0.422915,0.414912,0
10753,0.978723,0.067041,0.421898,0.003467,0.422915,0.414912,0
5735,0.255319,0.056593,0.207676,0.003467,0.422915,0.414912,0
5719,0.106383,0.041431,0.151741,0.003467,0.422915,0.414912,0
10709,0.170213,0.041281,0.229098,0.003467,0.422915,0.414912,0
25167,0.957447,0.075387,0.335763,0.003467,0.422915,0.414912,1
5541,0.170213,0.074817,0.247843,0.003467,0.422915,0.414912,0
25953,0.617021,0.067581,0.292621,0.003467,0.422915,0.414912,1
19325,0.531915,0.193287,0.482594,0.003467,0.422915,0.414912,1
26484,0.893617,0.056833,0.305118,0.003467,0.422915,0.414912,1
23988,0.957447,0.080972,0.430229,0.003467,0.422915,0.414912,1
24969,0.87234,0.090068,0.36745,0.003467,0.422915,0.414912,1
23276,0.212766,0.11814,0.295299,0.003467,0.422915,0.414912,1
22606,0.446809,0.096944,0.495091,0.003467,0.422915,0.414912,1
22244,0.765957,0.074517,0.489586,0.003467,0.422915,0.414912,1
4540,0.93617,0.034887,0.604433,0.002316,0.437338,0.715351,0
9293,0.0,0.044524,0.366409,0.003047,0.380632,0.396491,0
14469,0.06383,0.043053,0.198007,0.003467,0.422915,0.414912,0
20425,0.595745,0.117329,0.529902,0.003467,0.422915,0.414912,1
25691,0.212766,0.076828,0.299316,0.003467,0.422915,0.414912,1
8016,0.297872,0.056173,0.543439,0.003467,0.422915,0.414912,0
27823,0.829787,0.066861,0.764802,0.004778,0.622734,0.366667,1
22533,0.702128,0.081152,0.305266,0.003467,0.422915,0.414912,1
5106,0.021277,0.055812,0.292919,0.003467,0.422915,0.414912,0
26858,0.553191,0.062147,0.316572,0.003839,0.236147,0.500526,1
23388,0.404255,0.109313,0.439155,0.003467,0.422915,0.414912,1
13863,0.702128,0.062748,0.48676,0.003467,0.422915,0.414912,0
26622,0.87234,0.05305,0.336209,0.003467,0.422915,0.414912,1
26312,0.744681,0.055782,0.488248,0.003467,0.422915,0.414912,1
18006,0.765957,0.051219,0.375781,0.003467,0.422915,0.414912,0
14736,0.042553,0.056593,0.228206,0.003467,0.422915,0.414912,0
664,1.0,0.075958,0.574531,0.003467,0.422915,0.414912,0
28069,0.680851,0.041251,0.478875,0.002682,0.256862,0.760526,1
850,0.297872,0.045965,0.223148,0.003467,0.422915,0.414912,0
19766,0.170213,0.060586,0.146831,0.003467,0.422915,0.414912,1
27184,0.510638,0.055752,0.582416,0.003733,0.472035,0.564912,1
7974,0.361702,0.041161,0.493603,0.003467,0.422915,0.414912,0
8531,0.085106,0.05314,0.244273,0.003467,0.422915,0.414912,0
1960,0.510638,0.059055,0.523505,0.004071,0.522009,0.382018,0
16393,0.276596,0.066561,0.124814,0.003467,0.422915,0.414912,0
22963,0.723404,0.074817,0.501785,0.003467,0.422915,0.414912,1
21052,0.808511,0.10508,0.615591,0.003467,0.422915,0.414912,1
26329,0.510638,0.061817,0.501934,0.003467,0.422915,0.414912,1
21095,0.297872,0.11787,0.538381,0.003467,0.422915,0.414912,1
27965,0.638298,0.067011,0.610086,0.004663,0.66753,0.283333,1
19032,0.978723,0.077939,0.415501,0.003467,0.422915,0.414912,0
20769,0.276596,0.077159,0.513686,0.003467,0.422915,0.414912,1
21753,0.553191,0.069653,0.276406,0.003467,0.422915,0.414912,1
23365,0.638298,0.080491,0.486611,0.003467,0.422915,0.414912,1
5563,0.06383,0.049838,0.224933,0.003467,0.422915,0.414912,0
872,0.042553,0.051459,0.28801,0.003467,0.422915,0.414912,0
20293,0.340426,0.080911,0.331449,0.003467,0.422915,0.414912,1
12081,0.106383,0.042272,0.198007,0.003467,0.422915,0.414912,0
23921,0.765957,0.074817,0.271943,0.003467,0.422915,0.414912,1
2330,0.191489,0.055242,0.008182,0.003467,0.422915,0.414912,0
25171,0.319149,0.080611,0.281018,0.003467,0.422915,0.414912,1
24874,0.638298,0.085895,0.543142,0.003467,0.422915,0.414912,1
20812,0.425532,0.076018,0.53258,0.003467,0.422915,0.414912,1
21465,0.851064,0.104329,0.493603,0.003467,0.422915,0.414912,1
25076,0.574468,0.089408,0.537043,0.003467,0.422915,0.414912,1
18575,0.468085,0.062748,0.476049,0.003467,0.422915,0.414912,0
26930,0.851064,0.081962,0.43975,0.005588,0.47825,0.500526,1
9919,0.042553,0.043983,0.264058,0.003467,0.422915,0.414912,0
20196,0.680851,0.086075,0.58673,0.003467,0.422915,0.414912,1
16670,0.489362,0.062838,0.559952,0.003467,0.422915,0.414912,0
5392,0.170213,0.028041,0.20366,0.001876,0.295702,0.791667,0
5272,0.06383,0.083884,0.246802,0.003467,0.422915,0.414912,0
1763,0.659574,0.048487,0.234752,0.003467,0.422915,0.414912,0
12899,0.106383,0.055242,0.131211,0.003467,0.422915,0.414912,0
12982,0.0,0.074817,0.363731,0.003467,0.422915,0.414912,0
23658,0.787234,0.098024,0.432163,0.003467,0.422915,0.414912,1
6731,0.617021,0.041642,0.525141,0.003467,0.422915,0.414912,0
8873,0.595745,0.057314,0.415353,0.003467,0.422915,0.414912,0
20985,1.0,0.090309,0.545076,0.003467,0.422915,0.414912,1
14473,0.808511,0.041582,0.501041,0.003467,0.422915,0.414912,0
28308,0.851064,0.107992,0.793514,0.007245,0.600207,0.660526,1
8000,0.617021,0.074967,0.51443,0.003467,0.422915,0.414912,0
24324,0.446809,0.074817,0.333234,0.003467,0.422915,0.414912,1
13563,0.340426,0.033025,0.354359,0.001973,0.14552,0.669298,0
9815,0.659574,0.084814,0.433502,0.003467,0.422915,0.414912,0
21813,1.0,0.054912,0.429039,0.003467,0.422915,0.414912,1
8248,0.659574,0.05257,0.445254,0.003467,0.422915,0.414912,0
6222,0.0,0.043983,0.333829,0.003467,0.422915,0.414912,0
16846,0.212766,0.069833,0.173758,0.003467,0.422915,0.414912,0
1776,0.276596,0.042242,0.573936,0.002763,0.443553,0.537281,0
5669,0.404255,0.041732,0.677774,0.003467,0.422915,0.414912,0
24082,0.978723,0.057193,0.36269,0.003467,0.422915,0.414912,1
27155,1.0,0.05206,0.362095,0.003569,0.373123,0.423246,1
10782,0.489362,0.044134,0.444213,0.003467,0.422915,0.414912,0
